====================================================================================================
                                   CLASS SCHEDULE
====================================================================================================
Generated on: 2025-11-24 01:13:37
Total Scheduled Meetings: 0
Total Unscheduled Meetings: 477
====================================================================================================


====================================================================================================
 UNSCHEDULED MEETINGS
====================================================================================================

Course: RR325 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: ER327 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: RR325 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: ER327 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: RR325 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: ER327 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: MB322 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: GEELECT1 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: GEELECT1 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: GEELECT1 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: THE223 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: THE223 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: THE326 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: THE326 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: THE223 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: ENG111 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: ENG111 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: ENG111 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: ENG111 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: LIT121 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: LIT 223 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: FT 222 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: TMBC325 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: ENTREP 123 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: ENTREP 123 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: ENTREP 123 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: IT Elec1 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: IT Elec1 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: IT Elec1 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: IT Elec1 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: IT 323 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: IT 323 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: STAT | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: STAT | Type: Laboratory | Hours: 1 | Reason: No available room/time slot found
Course: STAT | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: STAT | Type: Laboratory | Hours: 1 | Reason: No available room/time slot found
Course: TTL2M | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: MATH 212 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
Course: SCI221 | Type: Lecture | Hours: 3 | Reason: No available room/time slot found
